artist,born-died,period,school,url,base,nationality,birth_year_clean,death_year_clean,clean_name
"AACHEN, Hans von",(1552-1615),Mannerism,painter,https://www.wga.hu/html/a/aachen/index.html,Germany,German,1552,1615,Hans von Aachen
"AAGAARD, Carl Frederik",(1833-1895),Realism,painter,https://www.wga.hu/html/a/aagaard/index.html,Copenhagen,Danish,1833,1895,Carl Frederik Aagaard
"ABADIA, Juan de la",(active 1470-1490),Early Renaissance,painter,https://www.wga.hu/html/a/abadia/index.html,Huesca,Spanish,1470,1490,Juan de la Abadia
"ABADIE, Paul",(1812-1884),Art Nouveau,architect,https://www.wga.hu/html/a/abadie/index.html,Paris,French,1812,1884,Paul Abadie
"ABAQUESNE, Masséot",(c 1500-1564),High Renaissance,potter,https://www.wga.hu/html/a/abaquesn/index.html,France,French,1500,1564,Masséot Abaquesne
"ABBATE, Niccolò dell'",(1509-1571),Mannerism,painter,https://www.wga.hu/html/a/abbate/index.html,Bologna,Italian,1509,1571,Niccolò dell' Abbate
"ABBATI, Giuseppe",(1836-1868),Realism,painter,https://www.wga.hu/html/a/abbati/index.html,Italy,Italian,1836,1868,Giuseppe Abbati
"ABBATINI, Guido Ubaldo",(c. 1602-1656),Baroque,painter,https://www.wga.hu/html/a/abbatini/index.html,Rome,Italian,1602,1656,Guido Ubaldo Abbatini
"ABEELE, Pieter van",(1608-1684),Baroque,sculptor,https://www.wga.hu/html/a/abeele/index.html,Amsterdam,Dutch,1608,1684,Pieter van Abeele
"ABILDGAARD, Nicolai",(1743-1809),Romanticism,painter,https://www.wga.hu/html/a/abildgaa/index.html,Denmark,Danish,1743,1809,Nicolai Abildgaard
"ABONDIO, Antonio",(1538-1591),Mannerism,sculptor,https://www.wga.hu/html/a/abondio/index.html,Vienna,Italian,1538,1591,Antonio Abondio
"ACERO Y AREBO, Vicente",(c. 1677-1739),Baroque,architect,https://www.wga.hu/html/a/acero/index.html,Spain,Spanish,1677,1739,Vicente Acero Y Arebo
"ACHENBACH, Oswald",(1827-1905),Realism,painter,https://www.wga.hu/html/a/achenbac/index.html,Dusseldorf,German,1827,1905,Oswald Achenbach
"ADAM, Albrecht",(1786-1862),Romanticism,painter,https://www.wga.hu/html/a/adam1/index.html,Munich,German,1786,1862,Albrecht Adam
"ADAM, Lambert-Sigisbert",(1700-1759),Baroque,sculptor,https://www.wga.hu/html/a/adam/lambert/index.html,Nancy,French,1700,1759,Lambert-Sigisbert Adam
"ADAM, Nicolas-Sébastien",(1705-1778),Baroque,sculptor,https://www.wga.hu/html/a/adam/nicolas/index.html,Nancy,French,1705,1778,Nicolas-Sébastien Adam
"ADAM, Robert",(1728-1792),Baroque,architect,https://www.wga.hu/html/a/adam2/index.html,London,Scottish,1728,1792,Robert Adam
"ADAM-SALOMON, Antoine-Samuel",(1818-1881),Realism,sculptor,https://www.wga.hu/html/a/adam-sal/index.html,Paris,French,1818,1881,Antoine-Samuel Adam-Salomon
"ADELCRANTZ, Carl Fredrik",(1716-1796),Neoclassicism,architect,https://www.wga.hu/html/a/adelcran/index.html,Sweden,Swedish,1716,1796,Carl Fredrik Adelcrantz
"ADEMOLLO, Luigi",(1764-1849),Neoclassicism,painter,https://www.wga.hu/html/a/ademollo/index.html,Florence,Italian,1764,1849,Luigi Ademollo
"ADLER, Salomon",(1630-1709),Baroque,painter,https://www.wga.hu/html/a/adler/index.html,Milan,German,1630,1709,Salomon Adler
"ADOLPHI, Christoffel",(c. 1631-1680),Baroque,sculptor,https://www.wga.hu/html/a/adolphi/index.html,Amsterdam,Dutch,1631,1680,Christoffel Adolphi
"ADRIAENSSEN, Alexander",(1587-1661),Baroque,painter,https://www.wga.hu/html/a/adriaens/index.html,Antwerp,Flemish,1587,1661,Alexander Adriaenssen
ADRIANO FIORENTINO,(ca. 1455-1499),Early Renaissance,sculptor,https://www.wga.hu/html/a/adriano/index.html,Florence,Italian,1455,1499,ADRIANO FIORENTINO
"AELST, Willem van",(1627-c. 1683),Baroque,painter,https://www.wga.hu/html/a/aelst/index.html,Delft,Dutch,1627,1683,Willem van Aelst
"AENVANCK, Theodoor",(1633-1690),Baroque,painter,https://www.wga.hu/html/a/aenvanck/index.html,Antwerp,Flemish,1633,1690,Theodoor Aenvanck
AERT VAN ORT,(active 1490-1536),Northern Renaissance,glass,https://www.wga.hu/html/a/aert/index.html,Flanders,Flemish,1490,1536,AERT VAN ORT
"AERTSEN, Pieter",(1508-1575),Northern Renaissance,painter,https://www.wga.hu/html/a/aertsen/index.html,Amsterdam,Netherlandish,1508,1575,Pieter Aertsen
"AGABITI, Pietro Paolo",(c. 1470-c. 1540),Early Renaissance,painter,https://www.wga.hu/html/a/agabiti/index.html,Marches,Italian,1470,1540,Pietro Paolo Agabiti
"AGASSE, Jacques-Laurent",(1767-1849),Neoclassicism,painter,https://www.wga.hu/html/a/agasse/index.html,London,Swiss,1767,1849,Jacques-Laurent Agasse
AGNOLO DI POLO,(c. 1470-after 1498),Early Renaissance,sculptor,https://www.wga.hu/html/a/agnolo/index.html,Florence,Italian,1470,1498,AGNOLO DI POLO
AGNOLO DI VENTURA,(active 1311-1349),Medieval,sculptor,https://www.wga.hu/html/a/agnol/index.html,Siena,Italian,1311,1349,AGNOLO DI VENTURA
AGOSTINO DI DUCCIO,(1418-1481),Early Renaissance,sculptor,https://www.wga.hu/html/a/agostin/index.html,Rimini,Italian,1418,1481,AGOSTINO DI DUCCIO
AGOSTINO DI GIOVANNI,(active 1310-1347),Medieval,sculptor,https://www.wga.hu/html/a/agostino/index.html,Siena,Italian,1310,1347,AGOSTINO DI GIOVANNI
"AGRATE, Gian Francesco Ferrari d'",(1489-c. 1563),High Renaissance,sculptor,https://www.wga.hu/html/a/agrate/index.html,Parma,Italian,1489,1563,Gian Francesco Ferrari d' Agrate
"AGRESTI, Livio",(1505-1579),High Renaissance,painter,https://www.wga.hu/html/a/agresti/index.html,Forli,Italian,1505,1579,Livio Agresti
"AGUADO LÓPEZ, Antonio",(1764-1831),Neoclassicism,architect,https://www.wga.hu/html/a/aguado/index.html,Madrid,Spanish,1764,1831,Antonio Aguado López
"AIMO, Domenico",(c. 1465-1539),High Renaissance,sculptor,https://www.wga.hu/html/a/aimo/index.html,Italy,Italian,1465,1539,Domenico Aimo
"AIVAZOVSKY, Ivan Konstantinovich",(1817-1900),Realism,painter,https://www.wga.hu/html/a/aivazovs/index.html,Russia,Russian,1817,1900,Ivan Konstantinovich Aivazovsky
"AKEN, Joseph van",(c. 1699-1749),Rococo,painter,https://www.wga.hu/html/a/aken/index.html,London,Flemish,1699,1749,Joseph van Aken
"AKOTANTOS, Angelos",(?-c. 1457),Medieval,painter,https://www.wga.hu/html/a/akotanto/index.html,Crete,Greek,1457,,Angelos Akotantos
"ALBA, Macrino d'",(c. 1460-c. 1528),Early Renaissance,painter,https://www.wga.hu/html/a/alba/index.html,Alba,Italian,1460,1528,Macrino d' Alba
"ALBANI, Francesco",(1578-1660),Baroque,painter,https://www.wga.hu/html/a/albani/index.html,Bologna,Italian,1578,1660,Francesco Albani
"ALBEREGNO, Jacobello",(died before1397),Medieval,painter,https://www.wga.hu/html/a/alberegn/index.html,Venice,Italian,,,Jacobello Alberegno
"ALBERTI, Antonio",(c. 1390-c. 1442),Early Renaissance,painter,https://www.wga.hu/html/a/albert/index.html,Urbino,Italian,1390,1442,Antonio Alberti
"ALBERTI, Cherubino",(1553-1615),Mannerism,painter,https://www.wga.hu/html/a/alberti1/cherubin/index.html,Rome,Italian,1553,1615,Cherubino Alberti
"ALBERTI, Giovanni",(1558-1601),Mannerism,painter,https://www.wga.hu/html/a/alberti1/giovanni/index.html,Rome,Italian,1558,1601,Giovanni Alberti
"ALBERTI, Leon Battista",(1404-1472),Early Renaissance,architect,https://www.wga.hu/html/a/alberti/index.html,Italy,Italian,1404,1472,Leon Battista Alberti
"ALBERTINELLI, Mariotto",(1474-1515),Early Renaissance,painter,https://www.wga.hu/html/a/albertin/index.html,Florence,Italian,1474,1515,Mariotto Albertinelli
"ALBERTOLLI, Giocondo",(1743-1839),Neoclassicism,sculptor,https://www.wga.hu/html/a/albertol/index.html,Italy,Italian,1743,1839,Giocondo Albertolli
"ALBOTTO, Francesco",(1721-1757),Baroque,painter,https://www.wga.hu/html/a/albotto/index.html,Venice,Italian,1721,1757,Francesco Albotto
"ALCIBAR, José de",(1725/30-1803),Baroque,painter,https://www.wga.hu/html/a/alcibar/index.html,Mexico,Other,1725,1803,José de Alcibar
"ALDROVANDI, Ulisse",(1522-1605),Mannerism,graphic,https://www.wga.hu/html/a/aldrovan/index.html,Bologna,Italian,1522,1605,Ulisse Aldrovandi
"ALEANDRI, Ireneo",(1795-1885),Neoclassicism,architect,https://www.wga.hu/html/a/aleandri/index.html,Italy,Italian,1795,1885,Ireneo Aleandri
"ALEKSANDROVIĆ, Ljubomir",(1828-1887),Romanticism,painter,https://www.wga.hu/html/a/aleksand/index.html,Other,Other,1828,1887,Ljubomir Aleksandrović
"ALEKSEYEV, Fyodor Yakovlevich",(c. 1753-1824),Rococo,painter,https://www.wga.hu/html/a/alekseye/index.html,Russia,Russian,1753,1824,Fyodor Yakovlevich Alekseyev
"ALENZA Y NIETO, Leonardo",(1807-1845),Neoclassicism,painter,https://www.wga.hu/html/a/alenza/index.html,Madrid,Spanish,1807,1845,Leonardo Alenza Y Nieto
"ALESSI, Galeazzo",(1512-1572),Mannerism,architect,https://www.wga.hu/html/a/alessi/index.html,Genoa,Italian,1512,1572,Galeazzo Alessi
ALESSO DI BENOZZO,(1473-1528),Early Renaissance,painter,https://www.wga.hu/html/a/alesso/index.html,Pistoia,Italian,1473,1528,ALESSO DI BENOZZO
ALEVIZ NOVY,(active 1499-1531),Early Renaissance,architect,https://www.wga.hu/html/a/aleviz/index.html,Russia,Italian,1499,1531,ALEVIZ NOVY
"ALGARDI, Alessandro",(1598-1654),Baroque,sculptor,https://www.wga.hu/html/a/algardi/index.html,Rome,Italian,1598,1654,Alessandro Algardi
"ALINCBROT, Louis",(1400/10-1460),Northern Renaissance,painter,https://www.wga.hu/html/a/alincbro/index.html,Valencia,Flemish,1400,1460,Louis Alincbrot
"ALLAR, André-Joseph",(1845-1926),Realism,sculptor,https://www.wga.hu/html/a/allar/index.html,Toulon,French,1845,1926,André-Joseph Allar
"ALLEGRAIN, Christophe-Gabriel",(1710-1795),Rococo,sculptor,https://www.wga.hu/html/a/allegrai/christop/index.html,Paris,French,1710,1795,Christophe-Gabriel Allegrain
"ALLEGRAIN, Etienne",(1644-1736),Baroque,painter,https://www.wga.hu/html/a/allegrai/etienne/index.html,Paris,French,1644,1736,Etienne Allegrain
"ALLIO, Domenico I",(c. 1510-1563),Northern Renaissance,architect,https://www.wga.hu/html/a/allio/index.html,Austria,German,1510,1563,Domenico I Allio
"ALLORI, Alessandro",(1535-1607),Mannerism,painter,https://www.wga.hu/html/a/allori/alessand/index.html,Florence,Italian,1535,1607,Alessandro Allori
"ALLORI, Cristofano",(1577-1621),Baroque,painter,https://www.wga.hu/html/a/allori/cristofa/index.html,Florence,Italian,1577,1621,Cristofano Allori
"ALLSTON, Washington",(1779-1843),Romanticism,painter,https://www.wga.hu/html/a/allston/index.html,United States,American,1779,1843,Washington Allston
"ALMA-TADEMA, Lawrence",(1836-1912),Romanticism,painter,https://www.wga.hu/html/a/almatade/index.html,London,English,1836,1912,Lawrence Alma-Tadema
"ALMONACID, Sebastián de",(c. 1460-1526),Early Renaissance,sculptor,https://www.wga.hu/html/a/almonaci/index.html,Spain,Spanish,1460,1526,Sebastián de Almonacid
ALOISIO DA CARCANO,(active 1493-1516),Early Renaissance,architect,https://www.wga.hu/html/a/aloisio/index.html,Russia,Italian,1493,1516,ALOISIO DA CARCANO
"ALSLOOT, Denis van",(1570-1628),Baroque,painter,https://www.wga.hu/html/a/alsloot/index.html,Brussels,Flemish,1570,1628,Denis van Alsloot
"ALT, Rudolf von",(1812-1905),Realism,painter,https://www.wga.hu/html/a/alt/index.html,Austria,Austrian,1812,1905,Rudolf von Alt
"ALTDORFER, Albrecht",(c. 1480-1538),Northern Renaissance,painter,https://www.wga.hu/html/a/altdorfe/index.html,Germany,German,1480,1538,Albrecht Altdorfer
